noticeId,lotId,title,country,buyer,productMolecule,moleculeDetected,moleculeVariant,cpv,awardValue,currency,awardedSupplier,publicationDate,procedureType,sourceUrl
828/2024,,"Suministro de medicamentos de uso humano que contiene principios activos: abrocitinib, acido pamidronico, alprostadil, axitinib, bosutinib, ceftarolina, ceftazidima/avibactam, crizotinib, ketamina, lorlatinib, palbociclib, parecoxib, Pegvisomant, raltitrexed, sirolimus, somatrogon, temsirolimus, tofacitinib, sulfato de vincristina, con destino a centros del ambito de la Sanidad Publica Valenciana",ES,"Dirección General de Gestión Económica, Contratación e Infraestructuras de la Conselleria de Sanidad 20897030133463 COMUNIDADES Y CIUDADES AUTÓNOMAS>Comunidad Valenciana>Conselleria de Sanidad",Axitinib,TRUE,axitinib,"33600000-Productos farmacéuticos., 33622100-Medicamentos usados en cardioterapia., 33630000-Medicamentos usados en dermatología y para el sistema musculo-esquelético., 33632000-Medicamentos para el sistema músculo-esquelético., 33632100-Antiinflamatorios y antirreumáticos., 33642100-Hormonas hiposifiarias, hipotalámicas y análogas., 33651100-Antibacterianos para uso sistémico., 33652100-Agentes antineoplásicos., 33652300-Inmunosupresores., 33661100-Anestésicos.",21992046.33,EUR,,2025-05-16,Negociado sin publicidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FV7smNko%2FU%2FzAq95uGTrDQ%3D%3D
2023/017882,,"PNSP 43/2023 Adquisición de los principios activos Axitinib, Pegvisomant, Tofacitinib y Ceftazidima/Avibactam (Pfizer, SLU)",ES,Gerencia del Area de Atención Integrada de Guadalajara 20442010080701 COMUNIDADES Y CIUDADES AUTÓNOMAS>Castilla - La Mancha>Consejería de Sanidad >Servicio de Salud de Castilla La Mancha (SESCAM)>Gerencia Atencion Integrada Guadalajara - Hospital General Universitario,Axitinib,TRUE,axitinib,33600000-Productos farmacéuticos.,522306.80,EUR,"PFIZER, S.L.U.",2024-02-12,Negociado sin publicidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2BrfTmHrS1DIIYE3ZiZ%2BxmQ%3D%3D
2022000664,,"Medicamentos_axitinib, bosutinif, crizotinib y palbociclib",ES,Servicio de Salud - Servicios Centrales 21295320173292 COMUNIDADES Y CIUDADES AUTÓNOMAS>Principado de Asturias,Axitinib,TRUE,axitinib,33690000-Medicamentos diversos.,1126444.11,EUR,,2023-02-24,Negociado sin publicidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=TG14rFYoFhtvYnTkQN0%2FZA%3D%3D
573/2022,,"Suministro de medicamentos de uso humano que contiene los principios activos: axitinib, bosutinib, ceftarolina, ceftazimida/avibactam, crizotinib, ketamina, palbociclib, pamidronato, parecoxib, pegvisomant, pentostatina, sirolimus, tofacitinib, sulfato de vincristina, alprostadil, nonacog alfa, isavuconazol, lorlatinib con destino a los Centros del ámbito de la sanidad pública valenciana",ES,"Dirección General de Gestión Económica, Contratación e Infraestructuras de la Conselleria de Sanidad 20897030133463 COMUNIDADES Y CIUDADES AUTÓNOMAS>Comunidad Valenciana>Conselleria de Sanidad",Axitinib,TRUE,axitinib,"33652100-Agentes antineoplásicos., 33621200-Antihemorrágicos., 33622100-Medicamentos usados en cardioterapia., 33632000-Medicamentos para el sistema músculo-esquelético., 33632100-Antiinflamatorios y antirreumáticos., 33642100-Hormonas hiposifiarias, hipotalámicas y análogas., 33651100-Antibacterianos para uso sistémico., 33651200-Antimicóticos para uso sistémico., 33652300-Inmunosupresores., 33661100-Anestésicos.",18052538.52,EUR,,2022-08-31,Negociado sin publicidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Rq%2BpSy59ODmXQV0WE7lYPw%3D%3D
CS/9999/1101023426/2021/PNSP,,"Suministro de medicamentos exclusivos con principios activos Acido Obeticólico, Cabozantinib, Tivozanib, Axitinib, Tafamidis, Inotuzumab Ozogamicina, Lorlatinib e Isavuconazol de los laboratorios Intercept, Ipsen, Eusa y Pfizer mediante procedimiento negociado por exclusividad sin publicidad",ES,Servicio Murciano de Salud - Junta de Compras 41261690169929 COMUNIDADES Y CIUDADES AUTÓNOMAS>Región de Murcia>Consejería de Salud,Axitinib,TRUE,axitinib,"33600000-Productos farmacéuticos., 33610000-Medicamentos para el aparato digestivo y el metabolismo., 33651200-Antimicóticos para uso sistémico., 33652100-Agentes antineoplásicos., 33661000-Medicamentos para el sistema nervioso.",3602509.60,EUR,,2022-04-26,Negociado sin publicidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=YE6tZ4b3PPYuf4aBO%2BvQlQ%3D%3D
2021/020115,,"PSNP 41/2021 Adquisicion principio activo Bosunitib,Isavuconazol, Axitinib, Pegvisomant, Sunitinib, Tofacitinib y Ceftazidima/Avibactam (Pfizer, S.L.U.)",ES,Gerencia del Area de Atención Integrada de Guadalajara 20442010080701 COMUNIDADES Y CIUDADES AUTÓNOMAS>Castilla - La Mancha>Consejería de Sanidad >Servicio de Salud de Castilla La Mancha (SESCAM)>Gerencia Atencion Integrada Guadalajara - Hospital General Universitario,Axitinib,TRUE,axitinib,33600000-Productos farmacéuticos.,1344259.68,EUR,"PFIZER, S.L.U.",2022-02-04,Negociado sin publicidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2OGQqotvXosBPRBxZ4nJ%2Fg%3D%3D
CM/8062/21/UG1,,"Abiraterone, axitinib, geftinib...",ES,Rectorado de la Universidad Jaume I 40000370000093 OTRAS ENTIDADES DEL SECTOR PÚBLICO>UNIVERSIDADES>Comunidad Valenciana>Universidad Jaume I,Axitinib,TRUE,axitinib,,764.13,EUR,MERCK LIFE SCIENCE S.L.U.,2022-01-27,Contrato menor,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=pDbMY4x34FwSugstABGr5A%3D%3D
CM/8062/21/UG1,,"Abiraterone, axitinib, geftinib...",ES,Rectorado de la Universidad Jaume I 40000370000093 OTRAS ENTIDADES DEL SECTOR PÚBLICO>UNIVERSIDADES>Comunidad Valenciana>Universidad Jaume I,Abiraterone,TRUE,abiraterone,,764.13,EUR,MERCK LIFE SCIENCE S.L.U.,2022-01-27,Contrato menor,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=pDbMY4x34FwSugstABGr5A%3D%3D
CM/8026/21/UG1,,"Abiraterone, axitinib, gefitinib crs...",ES,Rectorado de la Universidad Jaume I 40000370000093 OTRAS ENTIDADES DEL SECTOR PÚBLICO>UNIVERSIDADES>Comunidad Valenciana>Universidad Jaume I,Axitinib,TRUE,axitinib,,1256.00,EUR,"LGC Standards, S.L.U.",2022-01-27,Contrato menor,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=stYTO%2FAsBntvYnTkQN0%2FZA%3D%3D
CM/8026/21/UG1,,"Abiraterone, axitinib, gefitinib crs...",ES,Rectorado de la Universidad Jaume I 40000370000093 OTRAS ENTIDADES DEL SECTOR PÚBLICO>UNIVERSIDADES>Comunidad Valenciana>Universidad Jaume I,Abiraterone,TRUE,abiraterone,,1256.00,EUR,"LGC Standards, S.L.U.",2022-01-27,Contrato menor,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=stYTO%2FAsBntvYnTkQN0%2FZA%3D%3D
